f_0,fr_0,f_1,fr_1,f_2,fr_2,f_3,fr_3,f_4,fr_4,f_5,fr_5,f_6,fr_6,f_7,fr_7,f_8,fr_8,f_9,fr_9,f_10,fr_10,f_11,fr_11,f_12,fr_12,f_13,fr_13,f_14,fr_14,f_15,fr_15,f_16,fr_16,f_17,fr_17,f_18,fr_18,f_19,fr_19,f_20,fr_20,f_21,fr_21,f_22,fr_22
239.4366783475876,35483.3716173413,254.51391891524196,25503.107766592093,253.70838042408226,34365.39029314252,256.98041505575185,22915.71447401936,266.55421767294405,34331.40496472124,246.09242772668603,25027.862101213443,251.93370161904954,24031.533576696063,257.12953631222246,15435.780908134157,254.43835212156176,27841.853067927757,248.95844255428761,15681.503807537203,236.63328534156085,27565.018481405492,253.37500625908373,36522.2438031652,257.64196222513914,31298.447575097147,254.91084351822732,21883.927557185896,258.90249644344675,29164.56603374227,256.4116511358321,29830.879754432633,271.3934731683135,23849.312672065003,264.63205537557604,28352.648903185673,281.62984373956914,35712.51452419287,271.8789101669192,31753.064776415395,257.7548917776346,37346.622972135905,257.907821238935,14554.50435080944,256.4651890015602,20668.032329525955
253.8357123950124,36143.4495839775,254.46053165704012,26489.272231699004,252.79267601132395,35157.0371490989,252.82714913472532,23676.828009511646,228.23253149479626,29506.703664074957,243.63949536770582,23685.827183043562,261.0765530878305,26299.918606563773,249.57778951913116,14803.16488478104,256.4463515752554,28755.118835247533,253.31710379630326,16471.637108679315,250.97992933060976,27889.281182208066,248.133786598742,35920.50065796579,261.7612278544903,33554.04104403654,237.40913650631904,18871.46144554002,253.7163464656472,30235.832112679767,268.7703409591317,33575.64473921211,279.0093946093321,29915.224271527517,247.42000549972056,27650.881649896055,222.57660155802967,30765.022384305805,250.7427693991363,31986.788873147845,251.35073633050544,37759.65041979038,242.38271485954522,12228.01945631422,248.87427968107164,20131.506830909286
246.28750942334534,35260.91090503075,263.78221413433556,29452.621336415814,260.9608816275001,37208.46792445654,256.08198539376264,25078.762774251354,255.80421894326804,30365.195018446848,244.847780187279,23136.153887491655,256.1744168163836,27212.9778824042,262.08636926501987,17543.801073027284,267.319823794961,31617.80354650398,247.16534560486673,15894.604649620414,253.68305092960594,28893.38085731858,291.7560918414593,44583.631619259875,270.4467934852839,37811.505685057964,242.4571022847295,17124.163865359274,221.5314173603058,23985.194627908684,275.5114350879192,38679.1974164694,253.27057395860555,30937.750663097548,256.3251310570538,28831.528579401653,256.5270557844639,31971.98613047787,256.15950936734674,33148.8164884726,257.515957429111,39114.46265241072,252.4696280335635,12668.750049333288,254.20596880704164,21154.903910676905
261.8191230589152,37770.267840462264,257.7810637199879,31205.755303475573,272.10410908848047,41896.950948797,271.41972583025694,29311.17979466712,280.26888784408567,36002.76316007326,262.1693212667107,25577.32712236203,252.57606561662163,27565.2008695266,276.38605533927677,22537.686645464088,261.04363998532295,33617.97227254404,240.29064978301523,13982.210105313856,257.84482530295844,30672.80206283606,265.70955503523345,47660.01329737351,254.79184610009196,38663.06643724004,251.71508951907975,17049.44751364201,242.66741527110338,22545.151798560895,248.6617307313159,38646.7460057291,272.0110153117776,35067.43733269009,271.7852229470015,33068.98138005029,262.36084593027834,34079.1476603952,251.96834474779664,33612.5503557407,227.84138174328024,34689.211341312126,242.3972044252767,10930.101632663695,257.06165439128876,22812.02557409186
257.301300406307,39112.1930906693,239.5551271533966,29105.996587979396,227.4357384645939,37426.25370547208,232.89006681084635,25973.301353030005,245.59774822086098,35039.421801479315,287.2987835401297,32650.6642411701,257.4404253913462,28565.966010875443,253.94591302484272,23481.228719955106,252.64458475843074,34464.69347446245,261.9429805317521,16525.256062614895,251.7519827006757,31280.407126886523,270.4748314684629,51527.782547147755,278.2077883267403,44149.39471345226,279.9293008261919,23128.957491467754,265.1768955582381,25345.410433401543,248.6638272022456,38436.68667950864,240.15948643922803,32688.054113269493,245.26493144422767,32296.495072823738,279.8476266318559,39802.97529457684,257.53354493021965,35112.43284563167,255.0938388848305,35217.24083473035,267.26784635424616,14639.459712738582,270.6017580991983,26843.02122746173
267.7991945320368,43155.985888844705,264.1305371963978,32091.154359311466,257.6516448916495,39220.33843806472,255.46101580649616,26924.223668112896,261.6626697996259,37218.03552293723,249.14562998056414,32321.254520167648,242.60534223258497,26951.74253813094,253.29049747042356,23992.854992138473,253.44911275640132,34924.86990878825,240.43016386270523,14720.445179821832,253.9263691724837,32375.320556347295,235.6302656301856,48052.582713056996,273.384947091937,48712.97715307894,262.12017118424177,25567.85746252681,260.3319251427054,27233.530691050866,248.5378416956775,38392.31997283837,256.4250149300695,33708.492545460525,268.00554206311705,36107.25435090184,250.72991839177905,39287.38635266475,261.26959577739234,37603.08636763459,246.04273190259931,34426.211630614554,242.26081249803303,13105.263917208853,266.16575425505636,29701.12383714551
254.6186358516663,43498.29395198154,278.73825385928154,37557.95941115836,247.90466289982197,38745.37281410464,248.217598785311,26332.93227956257,248.2255615998432,37138.206486357245,258.9251882919669,34013.69017483945,266.4776532238722,30676.759986687477,249.1351907450333,24018.815702259497,259.5364188367128,36585.39883793852,252.90214176237583,15158.864448249666,248.3548593980819,32587.74993181621,248.44696440923957,47616.103031721934,251.76295653726908,49028.52466160326,265.3110187658668,28507.323560908168,260.8723568373918,29004.135903578386,258.530528023243,40093.294316985695,266.3497992897034,37538.572603079505,236.4337820211053,33508.104890758455,258.0645160345733,40451.836826809915,248.8882124697417,37279.06166298778,238.94843190848826,31903.970816257548,240.29644674599172,11139.759111131374,270.5208979448676,33503.82572972347
264.8368139439821,46392.370363525326,228.00557830423116,33161.35096128811,237.47271289139985,36469.09404507507,269.1383845978975,30224.19277103105,253.06780250206592,37407.68057603806,233.8488311970234,30895.19739441009,237.66410252690315,28505.41745633818,258.0241763474792,25305.708822144694,232.4155767017603,33114.106359410514,256.5947145378589,16606.07836134709,249.55469037186356,32116.777935705893,257.2861315870285,49321.66842009933,249.24712359100582,49268.03201507701,249.69019346852787,28558.566408741844,255.6592752070725,30099.461537448668,262.3963274782896,42856.02247329048,281.7244649195671,43395.85315579529,247.50448281854392,32902.48319124808,275.7545071804523,45601.491224857535,256.1472594419122,38523.066008155554,263.3886607059837,34414.16935937879,263.65731370538475,13498.583206252482,245.76455227270725,32719.203733035785
258.5779982885718,47693.09500501025,257.5656287753582,34593.04149743297,257.61849053666,37600.889866548154,257.94324424467976,31771.219285976546,238.17305330872534,34389.17087742465,248.36680289748125,30836.813787588086,253.5536141014099,29349.76393571844,264.9435808619857,28558.436345612758,255.96453083217142,34368.2357479812,253.8904779629409,17364.08871363283,254.04235413879158,32857.63762773714,245.2024874971807,48494.52016998558,249.2824541791901,49044.379882037225,244.45360044300554,27216.5622973815,262.97706877380614,32529.01863328597,255.51716894045472,43999.68197306364,241.94282640904186,41442.23243825089,259.7789075961709,34678.17437336193,253.68393668293953,46455.26229302828,255.8918547952175,39989.38449834005,267.13796754419803,38494.344662275595,262.8351577663422,16046.341115580506,248.58583851508797,32260.339835215884
279.6829010406137,53536.38335381765,269.6408257895708,38284.81084031082,265.11530896067615,40779.02559155469,255.35199516549704,32594.552424540303,247.34717528015375,33654.234690608726,252.62018109768627,31821.96395442976,258.8238681325317,30927.98612993571,273.94295377522707,32622.459170380967,254.97005297154186,34999.623063679835,266.714348140955,20505.875130957553,268.4766652548313,36589.37080814996,266.19024396479125,51791.182290581484,251.62088509514928,49628.78556945702,265.76674707919364,30473.435791205542,238.23613060355189,30148.737897883402,232.49530457617715,40330.50787544375,256.18088007628916,42879.55770704274,258.41765186429024,36098.540752193236,256.1884435719251,47244.46384848822,254.21830395400522,40809.730593791144,269.6742699721455,41963.8554144018,262.30432364925747,18296.99542107361,247.88870510436595,31581.944159115425
256.9862307785451,54693.98756201913,257.46225866317747,39962.36894324646,245.9651583456993,39978.58595845678,237.94401894420383,30436.537720784097,260.87178904950616,35690.004603744776,252.06830118462443,32021.907342337534,255.2083244898915,31921.717994210743,253.74439703837035,33752.46604788311,252.68277386039497,35726.839342599174,254.24720844239,21256.05147009396,256.5353275983036,37631.7673030425,270.6266230428219,56325.1427262866,264.42592529594896,52485.33922763737,258.68546295106415,32338.452358330524,256.1780164779723,31392.469856087748,260.98018990993495,42806.86803352751,251.97097566394137,43164.98341527543,277.1680336797237,41363.68152883942,255.06149788707495,48339.941078543976,250.21806113883855,40368.77296904636,229.45198158264162,37798.92363852783,252.23938595145938,18950.37207157692,252.55669684208928,32071.033467214584
248.88255095887928,54537.619491686106,256.54066318631175,40951.59938302882,272.3278897279501,44398.17985936549,241.48477529972791,28352.386819760177,254.29387610875068,36303.272545039224,256.1665713006258,33132.988209476636,262.40014342159037,34131.01192152826,261.0805971199274,35922.15343161913,252.87176297962668,36546.400169278604,246.2608282954991,20603.482737735034,245.29614807605742,36592.274604098515,254.05044620618224,57276.164862478596,254.84107526332141,53233.99355258559,271.1803460782766,36892.64175361009,254.2264432421327,32426.923497456148,253.11045872703193,43545.0864873624,284.1149462231994,49972.81176765172,250.47250540504234,41381.72342300657,253.22794119626286,49393.454073158166,278.5612437105179,46450.398741980156,246.24685561299322,37183.78395599408,255.8653130249679,20097.741824257697,255.6080967655778,32966.04804626047
